,datetime,open,close,high,low,volume,openinterest
18478,20210514  11:00,587.7,583.81,588.54,583.47,3839,
18479,20210514  11:05,583.91,583.57,586.34,583.5,3216,
18480,20210514  11:10,583.62,587.13,587.42,583.59,2481,
18481,20210514  11:15,587.15,588.22,589.07,586.84,2875,
18482,20210514  11:20,588.15,585.0,589.5,584.81,3076,
18483,20210514  11:25,585.02,584.45,585.93,583.8,1877,
18484,20210514  11:30,584.21,586.22,586.3,584.02,1531,
18485,20210514  11:35,586.27,583.42,587.74,582.6,2948,
18486,20210514  11:40,583.45,580.83,583.64,580.27,2521,
18487,20210514  11:45,581.0,581.08,582.3,580.53,2123,
18488,20210514  11:50,581.11,580.79,581.55,578.5,2407,
18489,20210514  11:55,580.83,582.87,583.0,580.16,2264,
18490,20210514  12:00,582.89,583.32,584.1,581.32,2258,
18491,20210514  12:05,583.38,584.87,585.5,583.37,2531,
18492,20210514  12:10,584.97,585.4,586.88,584.73,1920,
18493,20210514  12:15,585.4,585.92,586.48,584.84,1167,
18494,20210514  12:20,585.99,583.14,586.26,583.08,1663,
18495,20210514  12:25,583.08,583.62,584.24,582.4,1184,
18496,20210514  12:30,583.62,583.19,586.0,583.19,1588,
18497,20210514  12:35,583.2,582.67,583.41,581.88,1049,
18498,20210514  12:40,582.52,581.11,583.6,581.03,1335,
18499,20210514  12:45,581.1,582.77,583.63,581.0,1403,
18500,20210514  12:50,582.76,580.78,583.5,580.41,1073,
18501,20210514  12:55,580.75,581.73,582.8,580.67,1201,
18502,20210514  13:00,581.56,579.09,581.86,578.5,1524,
18503,20210514  13:05,579.04,579.54,579.64,577.42,1975,
18504,20210514  13:10,579.53,579.64,580.5,578.81,1478,
18505,20210514  13:15,579.64,579.71,580.0,578.5,1131,
18506,20210514  13:20,579.72,580.19,581.5,579.55,1600,
18507,20210514  13:25,580.08,580.79,581.45,579.76,987,
18508,20210514  13:30,580.84,577.59,581.0,576.25,1918,
18509,20210514  13:35,577.59,577.74,578.73,577.34,1146,
18510,20210514  13:40,577.66,576.85,578.59,575.77,1508,
18511,20210514  13:45,576.97,577.09,577.36,575.51,1147,
18512,20210514  13:50,577.03,577.91,578.65,577.01,1431,
18513,20210514  13:55,577.94,577.97,579.15,577.61,1697,
18514,20210514  14:00,577.99,579.44,579.75,576.84,1907,
18515,20210514  14:05,579.37,579.9,580.3,579.15,1453,
18516,20210514  14:10,579.87,580.59,581.2,578.65,1727,
18517,20210514  14:15,580.64,581.1,581.5,580.31,1897,
18518,20210514  14:20,581.14,581.3,581.59,580.04,1609,
18519,20210514  14:25,581.3,583.39,583.72,581.18,2443,
